Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6158536585365854,0.5714285714285714,0.0625,0.11267605633802817,0.581142578125
Random Forest,0.6692073170731707,0.6756756756756757,0.29296875,0.4087193460490463,0.6439453125
XGBoost,0.6432926829268293,0.56875,0.35546875,0.4375,0.63181640625
